"","text","emotion","polarity","result"
"135","virginamerica another delayed flight likingyoulessandless","unknown","negative","negative"
"136","virginamerica i need to register a service dog for a first class ticket from sfo gt dulles the phone queue is an hour or longer pls advise","unknown","neutral","negative"
"137","virginamerica you rock for making it so i can watch oscars on my flight redcarpet oscars oscars","unknown","negative","positive"
"138","virginamerica reallytallchris dropped a track on you","unknown","positive","neutral"
"139","virginamerica always xoxo","unknown","positive","positive"
"140","virginamerica why cant we book seats on your flights when we buy them or even during check in creates so much anxiety frustrated","anger","negative","negative"
"141","virginamerica youd think paying an extrabucks rt for luggage might afford you hiring an extra hand at sfo lame","unknown","positive","negative"
"142","virginamerica best customer service rep in the world irmafromdallas takes the cake","unknown","positive","positive"
"143","virginamerica can you find us a flt out of lax that is sooner than midnight on monday that would be great customer service ˇòÉ","joy","neutral","neutral"
"144","virginamerica please provide status for flighti cant imagine its on time as the web indicatesdude to weather here andor dallas","joy","positive","negative"
"145","virginamerica you have amazing staff amp super helpful as i just ran the waltdisneyworld princesshalf they have spoiled me with comfort","joy","positive","positive"
"146","virginamerica i paid the premium to fly you across the country you cancelled flight my flight and offer no check fee or upgrade love sad face","joy","neutral","negative"
"147","virginamerica question is it not possible to book a seat for an infant underits not giving me the option but we want a seat for him","unknown","neutral","negative"
"148","always have it together youre welcome rt virginamerica jessicajaymes youre so welcome","joy","positive","positive"
"149","virginamerica flight home to dc sunset globe in backtowinter back to work refreshed","unknown","neutral","positive"
"150","virginamerica i dont understand why you need a dm to give me an answer on if you have a damaged luggage policy","unknown","neutral","negative"
"151","virginamerica does that mean you dont have a policy for destroyed luggage","unknown","negative","negative"
"152","virginamerica is there special assistance if i travel alone w kids andinfant priority boarding","unknown","positive","neutral"
"153","virginamerica thank you for checking in tickets are purchased and customer is happy","joy","positive","positive"
"154","virginamerica is your website ever coming back online","unknown","positive","neutral"
"155","virginamericais flightfrom love field to sfo definitely cancelled flightled for monday february","joy","positive","neutral"
"156","virginamerica is flightout of lga to dfw on time","unknown","positive","neutral"
"157","virginamerica my drivers license is expired by a little over a month can i fly friday morning using my expired license","unknown","negative","neutral"
"158","virginamerica having problems flight booking problems on the web site keeps giving me an error and to contact by phonephone isminute wait","unknown","negative","negative"
"159","virginamerica how do i reschedule my cancelled flightled flights online the change button is greyed out","unknown","positive","negative"
"160","virginamerica i rang but there is a wait forminutes i can book the same ticket through a vendor fix your site","unknown","positive","negative"
"161","virginamerica got a flight we were told fortodaychecked my email and its fortomorrow this is unacceptable","unknown","negative","negative"
"162","virginamerica our flight into lga was cancelled flighted were stuck in dallas i called to reschedule told i could get a flight for today","sadness","negative","negative"
"163","virginamerica why dont any of the pairings include red wine only white is offeredredwineisbetter","unknown","positive","negative"
"164","virginamerica is the website down","unknown","positive","negative"
"165","virginamericayour site seems a little wonked right now may want to have a look tried on two browsers no css","unknown","neutral","negative"
"166","virginamerica im disappointed that the agent at the designated silver status check in line dullesairport closed to assist all pasengers","unknown","negative","negative"
"167","virginamerica plans to include austin to its dallas routetopnews arab emirates","unknown","positive","neutral"
"168","virginamerica is it normal to receive no reply from central baggage baggageissues smh","unknown","positive","negative"
"169","virginamerica at logan airport and waiting to checkin for my am flight checkin desk not openwhy","unknown","negative","negative"
"170","virginamerica to jump into the dallasaustin marketdallasnews","joy","negative","neutral"
"171","virginamerica beats eps views takes on southwestair va luvinvestors business daily","unknown","positive","neutral"
"172","virginamerica lister to my show my on monday","unknown","negative","neutral"
"173","virginamerica to begin dallasaustin flights in aprilketr","unknown","positive","neutral"
"174","virginamerica congrats you just got all my business from ewr to sfolax fuck you united fl sfoewr was the clincher","unknown","positive","negative"
"175","virginamericai applied overweeks ago havent heard back and im flying this week disappointed","unknown","negative","negative"
"176","virginamerica id love to know what your policy is for damaged luggage","joy","positive","neutral"
"177","virginamerica thank you for the follow","unknown","positive","positive"
"178","virginamericatoo many apologies you r the worse airlines dont even respond to your cudtomers","unknown","negative","negative"
"179","virginamerica shame on va for making people spend money in stranded cities when other airlines are landing at jfk who will reimburse me","sadness","neutral","negative"
"180","virginamerica ttinac i dm you","unknown","positive","neutral"
"181","virginamerica can you please have flights insjci have no choice but to fly southwest to vegas ˇòˇò","joy","positive","neutral"
"182","virginamerica too bad you say it takestodays via your confirmation email when i inquired afterweeks you claimtoweeks","sadness","negative","negative"
"183","virginamerica flight from bos gt las tomorrow was cancelled flightled no notification wait times arehour will you rebook on another airline","unknown","neutral","negative"
"184","ˇòû rt virginamerica you‚Äôve met your match got status on another airline upgrade restr","unknown","positive","positive"
"185","virginamerica only way to fly elevate gold","unknown","neutral","positive"
"186","virginamerica if only you guys had flights from cmh","unknown","positive","neutral"
"187","virginamerica a lot of apologies being thrown out to customers from what i can seevery sad thanks for nothing worst airline ever","sadness","negative","negative"
"188","virginamericafor all my flight stuff wrong and did nothing about it had worst flight ever","unknown","negative","negative"
"189","virginamerica having an issue finding a missing item on a plane can you help me find which airport my plane headed to next","unknown","positive","neutral"
"190","virginamerica you will match my americanairlines status cool","unknown","positive","positive"
"191","‚Äúvirginamericayouve met your matchgot status on another airline upgradeÄù asarcoesarˇôâ","unknown","positive","neutral"
"192","virginamerica trying to book a flight with you guys and your website wont let me about to lose my business","unknown","negative","negative"
"193","virginamerica you suck","unknown","negative","negative"
"194","virginamerica thanks","unknown","positive","positive"
"195","virginamerica just dmd same issue persisting","unknown","positive","negative"
"196","virginamerica because we never recd cancelled flightlation notice we were left w no options to fly out of ps driving to la for a red eye mon w kids","unknown","negative","negative"
"197","virginamerica trying to book a flight amp your site is down ˇòÅ","unknown","negative","negative"
"198","virginamerica you have any flights flying into boston tomorrow i need to be home and you cancelled flightled my flight and didnt do anything","unknown","negative","negative"
"199","virginamerica you stink flight cancelled flighted from psp to jfk and no notification or ability to rebook disappointedexpected better","unknown","negative","negative"
"200","virginamerica i love your guys song were dancing to it for our high school dance revue","anger","positive","positive"
"201","virginamerica your website is down and im trying to check in","unknown","negative","negative"
"202","virginamerica done thank you for the quick response apparently faster than sitting on hold","unknown","positive","positive"
"203","virginamerica nervous about my flight from dc to lax getting cancelled flightled tomorrow just sent you a dm to help me","unknown","negative","neutral"
"204","virginamerica cool picture of another virginamerica plane off our wing what a site","unknown","positive","positive"
"205","virginamerica keep up the great work","joy","positive","positive"
"206","virginamerica my goodness your people love field are amazing under pressure ‚ùÔèfrom texas beatstheothers in crisis please fly me to ny","joy","positive","positive"
"207","virginamerica thanks for a great flight from la to boston pilots did a great job landing in the snow can we go back to la now seriously","joy","negative","positive"
"208","virginamerica can you please get me to the new york area before monday afternoon","joy","neutral","neutral"
"209","virginamerica thanks so much for the awesome support you guys rock","unknown","positive","positive"
"210","virginamerica seats in rowdont recline should mention that on your website soreback","unknown","positive","negative"
"211","virginamerica flightdelayedhours in la due to mechanical problems handle like pros but you could have tossed us a free drink","joy","neutral","negative"
"212","virginamerica why cancelled flight flights today no precipitation to be scared of‚ùÑÔè‚ùÑÔè‚ùÑÔè","fear","negative","negative"
"213","virginamerica twitter team you guys killed it for rescheduling me asap thank you","unknown","positive","positive"
"214","virginamerica you guys charged meto reschedule a flight that was then cancelled flighted and are now refusing to refund it whats the deal","unknown","negative","negative"
"215","virginamerica can‚Äôt access your website from safari on iphoneseems to work on mac and ipad need iphone to add passbook","unknown","negative","negative"
"216","virginamerica on ipad and iphone clicking the checkin link in the email i received at hrs before flight","unknown","negative","neutral"
"217","virginamerica your mobile site is broken shows headerelevateusernumofpointsavailablenumber points wont let me checkin","unknown","negative","negative"
"218","virginamerica i was really looking forward to my flight can you let me know when it will be rescheduled diehardvirgin","unknown","neutral","negative"
"219","virginamerica why cancelled flight flight vx one sec its delayed on my to airport the next its cancelled flightledgonna email or call me to reschedule","unknown","negative","negative"
"220","virginamerica i did it but there was a problem in the link from the email for checkin thanks","unknown","negative","negative"
"221","virginamerica had to change to another airline to get to dc todaywhy is united able to land in dc but not you cost meugh","sadness","negative","negative"
"222","virginamerica i was so looking forward to my first flight with you today but it was cancelled flightled along with the subsequent one","unknown","negative","negative"
"223","virginamerica when are you putting some great deals from pdx to las or from las to pdx show me your love","joy","positive","positive"
"224","virginamerica wish i can afford to fly with you next fridaygoing back home love everythingabout your airline","joy","positive","positive"
"225","virginamericahow are you gonna have a deal from dallas to dc but no deal from dc to dallas sad","sadness","negative","negative"
"226","virginamerica it‚Äôs just a bug report guys","unknown","neutral","neutral"
"227","virginamerica hold times at call center are a bit much","unknown","negative","negative"
"228","virginamerica like","joy","positive","positive"
"229","virginamerica site down help","unknown","positive","negative"
"230","virginamerica you have the best flight attendant ever","unknown","neutral","positive"
"231","awesome rt virginamerica watch nominated films atfeet meetthefleet oscars","unknown","neutral","positive"
"232","virginamerica thanks so much","unknown","positive","positive"
"233","virginamerica trying to reset my password email never arrives help","unknown","neutral","negative"
"234","virginamerica the only airline based in silicon valley disruption fcmostinnovative incubatorfastcompanys","unknown","negative","positive"
"235","virginamerica very nicely done ˇëè","unknown","positive","positive"
"236","virginamerica i‚Äôm looking forward to watching the oscars on my flight home tomorrow i might even get something bubbly to drink","sadness","negative","positive"
"237","virginamerica what is the reasonfor the delay of the departure of vxfrom jfk this afternoon","unknown","positive","negative"
"238","virginamerica is todays flight from palm springs ca to jfk in ny cancelled flightled","unknown","negative","negative"
"239","virginamerica hahaha ˇòÇvirginamerica you guys are amazing i love you guysˇíó","joy","positive","positive"
"240","virginamerica sounds like fun","joy","neutral","positive"
"241","virginamerica any updates on flightfrom jfk gt lax","unknown","negative","neutral"
"242","virginamerica spruce moose","unknown","positive","neutral"
"243","virginamerica the css on your site is aright now please fix site unusable","joy","positive","negative"
"244","virginamerica were on flightvegas to boston today checked in online but our bag count didnt register can i fix that somehow","unknown","negative","negative"
"245","virginamerica classiq luv virgin america greetingz","unknown","positive","positive"
"246","virginamerica hi im trying to do checkin but the website is not working i trieddifferent browsers and the problem continues","unknown","negative","negative"
"247","virginamerica thanks for your great customer service today amp for helping me get all my travel sorted out","joy","neutral","positive"
"248","virginamerica thanks guys sweet route over the rockies airplanemodewason","unknown","positive","positive"
"249","virginamerica love the s music blasting at gate in boston while waiting for flight to sanfrancisco only if i could get an iced coffee","joy","negative","positive"
"250","virginamericathe passenger in d fltthat assaulted me shouldnt have flown i trust hes banned crew filed report to faanews","unknown","negative","negative"
"251","virginamerica current bug on website shows ‚Äòselect departure city‚Äô when selecting destination city","unknown","negative","negative"
"252","virginamerica luggage was severely dentedmissing wheel coming off baggage claim in san luggage agent miranda i think wasnt any help","unknown","neutral","negative"
"253","virginamerica thank you for the easy itinerary shift for impending weather quick painless amp free","unknown","positive","positive"
"254","virginamerica if youd love to see more girls be inspired to become pilots rt our free woaw event marchat abq","joy","positive","neutral"
"255","virginamerica thanks good times there and back vodkatonics the entire flightˇçsfo","joy","positive","positive"
"256","virginamerica beats expectations shares take offsanta cruz sentinel","unknown","positive","neutral"
"257","virginamerica any plans to start flying direct from dal to las","unknown","positive","neutral"
"258","virginamerica big lovegratitudempower wwerin oscars vipswagbags avalonhollywood","unknown","positive","neutral"
"259","virginamerica youre doing a great job adding little luxuriesaesthetics that improve the air travel experience thank you keep it up","joy","neutral","positive"
"260","virginamerica requested window seat and confirmed window but got stuck in middle seat not a good way to treat silver memberˇòí","joy","neutral","negative"
"261","virginamerica grand budapest hotel oscarscountdown","unknown","positive","neutral"
"262","virginamerica this is what you missed newsvp next trip to the","unknown","positive","neutral"
"263","virginamerica wtf i paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience","unknown","negative","negative"
"264","virginamerica there is something wrong with you website in safari iphone","unknown","negative","negative"
"265","virginamerica thanks for gate checking my baggage on your full flight dfwlaxand giving me early boarding too sweet","unknown","negative","positive"
"266","virginamerica already checked in so the page expired x","unknown","positive","negative"
"267","virginamerica boo for a not refunding a seat upgrade fee i did not want to buy in the first place","unknown","positive","negative"
"268","virginamerica shares rise on q financial resultsusa today","unknown","positive","neutral"
"269","virginamerica adds pillows instead of lieflat seats in first class arms race","unknown","positive","neutral"
"270","virginamerica i see what you did there","unknown","positive","positive"
"271","virginamerica way to take advantage of mayweatherpacquiao","unknown","negative","neutral"
"272","virginamerica you know im flying virgin for the fight mayweatherpacquiao","unknown","neutral","neutral"
"273","virginamerica your inflight team makes the experience amazing","surprise","positive","positive"
"274","virginamerica cutest salt and pepper shaker ever just when i think you guys cant get any better you just do","sadness","positive","positive"
"275","virginamerica moved my seat with no notice better seat is cabin select not behind the row i selectedˇëû disappointed","unknown","positive","negative"
"276","virginamerica shares up on q resultsiol","unknown","positive","neutral"
"277","virginamerica fav airline","unknown","positive","positive"
"278","virginamerica we have a hot female pilot sweet dca to sfo","unknown","positive","positive"
"279","ˇëçˇëç‚úàÔè‚úàÔèˇíó when are you guys going to start flying to paris virginamerica lizautter youre welcome‚Äù","unknown","positive","neutral"
"280","virginamerica what is your policy on flying after surgeryi am still waiting for answer so i can tell me doctor","unknown","positive","neutral"
"281","virginamerica already contacted central baggage amp sent dm renttherunway is charging me for the dress that was in the lost suitcase help","unknown","neutral","negative"
"282","virginamerica thank you","unknown","positive","positive"
"283","virginamerica is there anything going on with the website ive been getting a lot of errors pastminutes","unknown","positive","negative"
"284","virginamerica i think i left something on the plane yesterday who do i callah","unknown","neutral","neutral"
"285","virginamerica i need you to follow back in order to dm","unknown","neutral","neutral"
"286","virginamerica need to start flying to kciairportˇòöˇòÄˇòÉˇòÑ","unknown","negative","neutral"
"287","virginamerica they told to check with the airline regulation first so that is why i contacted you","unknown","positive","neutral"
"288","virginamerica virginatlantic i have just checked in flight to sfo from lax amp been told as atlantic flying club gold i get no benefits","sadness","negative","negative"
"289","virginamerica husband and i ordered three drinks via my screen and they never came awesome","unknown","positive","negative"
"290","virginamerica soooo are you guys going to leave the seatbelt light on all flight you can barely call this turbulence","unknown","negative","negative"
"291","virginamerica what is your policy on flying after surgery","unknown","positive","neutral"
"292","virginamerica posts second consecutive fullyear net profitatwonline","unknown","positive","neutral"
"293","virginamerica funny story your website is broken you have missing javascript and stylesheets on the checkin process i dislike this","unknown","negative","negative"
"294","virginamerica would love to do more for virgin just like i do for gopro","joy","positive","positive"
"295","virginamerica results handily exceed forecastsnytimes","unknown","positive","neutral"
"296","virginamerica i applied for a position in flylaxairport and i was wondering if you guys received my application","unknown","positive","neutral"
"297","virginamerica achieves a second year of profitability despite revenue pressurecapaaviation","anger","negative","neutral"
"298","virginamerica gives positive outlook but sees increased competitionreuters","unknown","positive","neutral"
"299","virginamerica im trying to check into my am ct flight tmm on the desktop website and its not working some sort of caching bug sos","unknown","negative","negative"
"300","virginamerica weather delays gt next few weeksjfk bos dca","unknown","positive","neutral"
"301","virginamerica madbee check the website before you go to the airport","unknown","positive","neutral"
"302","virginamerica do you guys know your checkin links from emails are broken","unknown","neutral","negative"
"303","virginamerica pilot says we expect a choppy landing in nyc due to some gusty winds wa temperature of aboutdegrees amp wthe windchill","joy","negative","neutral"
"304","virginamerica loved it cant wait for mondays return flight mostly just to watch the inflight safety video again sorrynotsorry","unknown","negative","positive"
"305","virginamerica lost my luggagedays ago on flight vxfrom lax to iad amp im calling every day no responseplease give me back my stuff","unknown","negative","negative"
"306","virginamerica the flight booking problems section of your website seems to be broken on chrome might wanna look into that","unknown","negative","negative"
"307","virginamerica hi just wanted to see if you have any new routes planned this year for newark love flying you guys and hope to do so more","joy","positive","positive"
